state,x,y
Alabama,142,-83
Alaska,-213,-168
Arizona,-204,-35
Arkansas,59,-48
California,-308,-6
Colorado,-128,31
Connecticut,296,98
Delaware,276,41
Florida,218,-143
Georgia,180,-82
Hawaii,-310,-148
Idaho,-222,127
Illinois,83,44
Indiana,127,40
Iowa,24,72
Kansas,-46,14
Kentucky,138,1
Louisiana,48,-96
Maine,313,173
Maryland,256,50
Rhode island,312,99
Massachusetts,310,111
Michigan,154,99
Minnesota,17,154
Mississippi,88,-77
Missouri,56,6
Montana,-171,165
Nebraska,-60,71
Nevada,-271,69
New Hampshire,300,136
New Jersey,279,61
New Mexico,-145,-56
New York,245,105
North Carolina,218,-15
North Dakota,-65,167
Ohio,170,51
Oklahoma,-32,-30
Oregon,-302,144
Pennsylvania,217,73
South Carolina,205,-49
South Dakota,-65,119
Tennessee,106,-30
Texas,-60,-94
Utah,-204,47
Vermont,284,145
Virginia,224,15
Washington DC,262,32
Washington,-274,201
West Virginia,199,28
Wisconsin,65,121
Wyoming,-160,105
